plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
everslc_wsa,81,317803.414454717,1800900263.80494,0.22406932603498095,0.47335961597392406,0.4081966450340644,0.7929504296128922
everslc_wsa,82,65226.6533235896,123842721.480083,0.36578859378706324,0.6048045914070619,0.3827880774765988,0.8582518169656278
everslc_wsa,83,163280.736802846,357313775.862582,0.16841847144067723,0.410388196029902,0.29016743322196015,0.7018329104132621
everslc_wsa,84,78119.0359632131,105795841.02892,0.21785358395621413,0.466747880505326,0.18709205953919153,0.7575033011555803
everslc_wsa,85,137394.819650881,132979184.608887,0.08852232520836938,0.29752701593026704,0.2199602632316336,0.5341443079417556
everslc_wsa,86,366059.357659558,2478452666.60724,0.23242747626740287,0.4821073285767422,0.3659494284572379,0.8298664226430931
everslc_wsa,87,525239.363849589,8649681279.85069,0.39399928685402186,0.6276936249907448,0.30892436985401367,0.7480343562045754
everslc_wsa,88,65723.3693381564,75992952.9238921,0.2210769912145101,0.4701882508256774,0.3195660640897897,0.6919861098752965
everslc_wsa,89,306253.422896379,1241822406.7471,0.1663824262418137,0.40790001990906266,0.2874624610482621,0.6261915606756563
everslc_wsa,9,36364.0769820194,21945769.4981989,0.20855256730872884,0.4566755602270926,0.38169321874970885,0.6157731277424832
everslc_wsa,90,77046.6963411235,69833197.0036635,0.1478303978789602,0.38448718818571864,0.2493980950363363,0.5103997376463192
everslc_wsa,91,109855.617295173,67158098.9423735,0.06993003094398977,0.2644428689603669,0.3545916442683362,0.689961887779078
everslc_wsa,92,372119.843150805,5031088935.99331,0.45656876825433323,0.6756987259528712,0.31077879301862726,0.8638258307924255
everslc_wsa,93,434388.049616064,3187170511.67437,0.2122557307633672,0.46071219949483344,0.2097158890741352,0.7522091975665994
everslc_wsa,94,222780.615572512,945994377.642745,0.2395210131504348,0.48940884049068306,0.3148953229546538,0.7771138683599573
everslc_wsa,95,211472.630420123,490855664.316999,0.13792892022164574,0.3713878299320614,0.2900807495718365,0.7392946535535008
everslc_wsa,96,417906.499125297,4378168088.26105,0.31502429245084773,0.5612702490341419,0.458903172450318,0.7661434050236137
everslc_wsa,97,147907.800582926,256975759.982458,0.14761138835341883,0.3842022753100492,0.2705591137049445,0.5206703659411349
everslc_wsa,98,73687.834954531,123090194.341255,0.28486672865191476,0.5337290779523959,0.5066644206305073,0.8674458744189122
everslc_wsa,99,107709.686448686,305578973.088671,0.3309968096996341,0.5753232219367075,0.514472897253409,0.835377028732169
everslc_wss,1,829598.852604748,3698216001.47086,0.06752519576709345,0.2598561058876498,0.1337777592593977,0.5057464792211175
everslc_wss,10,485652.307362852,5429202694.22004,0.28926441273491993,0.5378330714403121,0.434778999681451,0.7093508849630589
everslc_wss,11,531481.877008884,3035890454.33156,0.1350576038773834,0.3675018420054291,0.39617447882489504,0.6029213151441782
everslc_wss,12,891137.185731935,21435681120.9124,0.33920169901814107,0.5824102497536776,0.4770214459310317,0.8673118258827339
everslc_wss,13,516389.330202851,3239695945.53289,0.15267207072991168,0.39073273567735745,0.39268314880453015,0.6240157827424977
everslc_wss,14,757326.475993008,7857971067.25689,0.17216862440795389,0.41493207204065813,0.4130236140795098,0.6557155549740328
everslc_wss,15,352881.476378839,2554358624.90033,0.25777097334448945,0.5077115060194022,0.34281223947561956,0.8128263981273931
everslc_wss,16,255944.322868096,557972936.347064,0.10703652399116023,0.327164368462032,0.43446880684138295,0.7056652981398769
everslc_wss,17,638938.430467552,11371539189.417,0.3500346966357555,0.5916373015925851,0.4866890197578512,0.7594813663078777
everslc_wss,18,297189.205050526,1596581999.61192,0.22716165915224554,0.4766147911597431,0.5182848600719407,0.7629044983990828
everslc_wss,19,120817.521502576,442162425.457209,0.3806552758896125,0.616972670293922,0.46270897939515304,0.8201394071899702
everslc_wss,2,449764.698398814,3792892875.59783,0.23561867573513728,0.4854056816057443,0.33486152734317287,0.75798893475142
everslc_wss,20,385808.230068771,2687912809.5575,0.22692485438167564,0.47636630273527497,0.45094510350983547,0.7534691395534399
everslc_wss,21,313509.647991643,1324336638.16313,0.1693192894541831,0.41148425176935155,0.48852707116826083,0.8053728711888561
everslc_wss,22,158529.331702721,137802793.934156,0.06890466558882032,0.2624969820565949,0.21891086636867751,0.5323607048571752
everslc_wss,23,661758.98725872,8902783108.85962,0.25546767819760274,0.505438105209335,0.26778658075850414,0.7581227244079257
everslc_wss,24,492112.726986636,8361382524.3917,0.43386914169736945,0.6586874385453009,0.34508599514118266,0.8371185190192747
everslc_wss,25,1455503.31368115,22831781928.9661,0.1354326183140261,0.3680117094795029,0.4151376810422663,0.6292733018610868
everslc_wss,26,184612.796142511,142767532.942987,0.052639980359145355,0.2294340435923696,0.31608821514736873,0.7018461112369211
everslc_wss,27,576260.55501821,3385818111.21174,0.12812553782633745,0.35794627784953625,0.48937885482907784,0.7423379468050011
everslc_wss,28,204184.321630619,586952338.375412,0.17691632852366793,0.4206142276762258,0.3509043259428886,0.7154292477705757
everslc_wss,29,762545.43952219,11261113131.0655,0.24336590211488748,0.49332129704168215,0.22729807291807574,0.6396207602483401
everslc_wss,3,44723.6939064666,58536146.9928355,0.367755065713382,0.606428120813491,0.5074776057595233,0.8386121893448851
everslc_wss,30,396168.260815859,1387648556.65439,0.11110407665982804,0.3333227814893966,0.27212937340557736,0.5180262124856533
everslc_wss,31,659912.437473393,8285417546.42853,0.2390846183570362,0.4889627985409895,0.228627191048322,0.7767133195348895
everslc_wss,32,459666.012683601,5815018130.19527,0.34584073857342,0.5880822549383888,0.5105031146027573,0.7372943892242658
everslc_wss,33,185273.330281208,685644927.339889,0.2510055447874857,0.5010045356955222,0.5627214495652209,0.8400412204129192
everslc_wss,4,91480.9607406237,168526383.946226,0.2530558213618551,0.5030465399561507,0.28787904582092855,0.7098905455374289
everslc_wss,5,110356.17433093,167133150.157963,0.1724563498747368,0.4152786412455339,0.31538684386633475,0.7025845931731167
everslc_wss,6,62844.1145476821,64251778.2412134,0.20443996253047275,0.4521503760149634,0.3578297393042314,0.6729482589342667
everslc_wss,7,91506.7038498538,152323885.668364,0.22859780174232763,0.47811902466052075,0.3256420345136699,0.6986582812035262
everslc_wss,8,361920.755344283,730129245.571813,0.07004588541338162,0.26466183218095807,0.2045152505527274,0.47968006413327846
everslc_wss,9,287285.63862963,2310375731.16104,0.35177473582045793,0.5931060072368665,0.49682382769449845,0.7841551771413857
lawforward_wsa,1,574179.38003681,2380727536.95655,0.09074534900093702,0.3012396869619556,0.1592224556872561,0.5810099927525914
